"","ID","empirical","comment","loop_concept","level","perspective","dim1","dim2","dim3","dim4","dim5","actor_TEXT","viewpoint_TEXT","topic_TEXT","other_TEXT","outlet_TEXT","def_yn","defcit","def","n_studies","n_study","dep_yn","ca_yn","ind_yn","Q139","n_coders","Q141","Q143","Q145","n_coders2","rel_yn","rel_meth","rel_criterion","rel_morethanone","sample_size","rel_size","rel_n_coders","rel_n_coders2","med1","measured_yn","Q25_1_TEXT","med2","Q53","Q54","Q55","Q56","Q57","Q59","Q60","Q61","Q62","Q63","Q64","Q65","Q66","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q77","Q78","Q79","Q80","med3","Q82","Q83","Q84","Q85","Q87","Q88","Q89","Q90","Q91","Q92","Q93","Q96","Q97","Q98","Q99","loop_stat_variable","stat_dep","stat_group_sig","stat_group_sig_dep","stat_grouptext","stat_ind","stat_posneg","stat_sig","stat_test","dimension","autom","math","measurecit","method","metr","metr2","procedure","qual","abstract","author","doi","outlet","title_full","year"
"31","005951@2013.nl","No","Talks about the issue of measuring diversity and pluralism in countries where the accessibility of media is very unequal. Postulates a more audience-centred approach (close to exposure diversity but on the overall population level) where you first have to check to what media different population segments have access and then evaluate the diversity of those media diets. Pluralism for media outlets, diversity for diversity of voices in the content (although in the text they are still used quite interchangeably. ","div","media_mark","supply,exposure","actor",NA,NA,NA,NA,"diversity of voices","","","","","Yes","Van Cuilenburg (2007)","all of the foreign media diversity measurement tools and metrics which were investigated as part of this project operated according to a similar normative understanding, namely that a diversity of content in the media is important to society and to democracy, and should reflect the widest range of cultural and political ideas possible, because the media are integral to the individual’s formulation of ideas and opinions

In many southern countries, of course, large sections of the media audience may experience very limited access to some, if not all, media platforms. Significantly, then, an inversion of the view from which to assess media diversity is required in developing countries. 

 It is one matter to measure the diversity of content within a particular print media publication, but the importance of that analysis must be jointly determined by the accessibility (in addition to the availability) of the publication to a specific audience.

Therefore, on assessing media diversity of content in southern countries such as South Africa, the audience must necessarily first be segmented into the varying media bundle categories (once these have been identified), and a media type should preferably be included within an audience segment’s media bundle only if its access and accessibility are rated highly for that particular audience segment. Only then can a content analysis of the level of diversity within the media be initiated, but a separate content analysis should be done for each media bundle category.

Van Cuilenburg (2007, 38–39) makes a case for assessing the diversity of a media market in its entirety, as opposed to analysing the diversity of separate media markets in isolation from one another.

Therefore, if the primary motivator for measuring media diversity is a concern for the diversity of content and available ideas according to which audiences form opinions, it may be better to view the media as a whole, rather than as separate parts. 

 Indeed, the ideals for media diversity held by policy-makers may not necessarily reflect any symmetry with the preferences of the audience(s). Therefore, as part of the project of establishing a media diversity measurement tool, an audience study becomes essential.


‘Pluralism’ and ‘diversity’ are often used interchangeably, especially in European policy debates. In this article, the terms are understood to be distinctly different. Pluralism refers to the number of media outlets, while diversity refers to the type of voices available in these media outlets, and whether the voices of particularly vulnerable social groups (e.g., women, children, the elderly) are represented in media content. While the extent of the former can be assessed through quantitative indicators, it is difficult to assess the latter without a more qualitative approach.
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"actor",NA,NA,NA,NA,NA,NA,NA,NA,"This article responds to recent debates within South African MEDIA politics regarding the DIVERSity and transformation of the print sector in the country, by suggesting a necessary refocus of previously used methods of measuring MEDIA DIVERSity and propos","Duncan, J and Reid, J","10.1080/02500167.2013.864448","Communicatio","{Toward a measurement tool for the monitoring of MEDIA DIVERSity and PLURALism in South Africa: A public-centred approach}","2013"
"32","005969@2013.nl","No","Looks at Pakistani legislation of diversity. Refers to McQuail and Napoli for the theoretical definition, nothing new to add. ","div","media_mark","supply,exposure","outlet","other",NA,NA,NA,"","","","content diversity","source diversity","Yes","McQuail, 2005; Napoli, 2003","In multicultural societies, diversity is considered a prime objective of regulation established for broadcast media. Three types of diversity 􏰁 source diversity, content diversity, and exposure diversity 􏰁 are considered vitally important to protect the rights of citizens and the functioning of democratic systems of governance (McQuail, 2005; Napoli, 2003).

Without ensuring diversity of views in media content and programming, it is impossible to guarantee ‘an increase in the diversity of content consumed by audiences’ (Napoli, 2003, p. 129).

Source diversity has attracted the attention of policymakers who have attempted various strategies to practically implement the elusive principles enshrined in the concept. Napoli (2003) argued that regulators have operationalized source diversity by warranting diversity of media ownership, by encouraging media outlets to ensure diversity of ownership of content and programming, and by introducing rules paving the way for the recruitment of a diverse workforce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"outlet",NA,NA,NA,NA,NA,NA,NA,NA,"Using democratic participant theory as a framework to explain MEDIA performance, this article examines the implications of ownership concentration and DIVERSity on democracy and analyzes the Pakistan Electronic MEDIA Regulatory Authority's (PEMRA) endeavo","Rasul, A and Proffitt, J M","10.1080/01292986.2013.805797","Asian Journal of Communication","{DIVERSity or homogeny: Concentration of ownership and MEDIA DIVERSity in Pakistan}","2013"
"33","006040@2013.nl","No","Uses pluralism and diversity interchangeably (always: diversity and pluralism), defines diversity on three different dimensions and gives some indications how they could be achieved (although not measured). Talks about African regulation of media (diversity).","div","media_mark","supply","actor","viewpoint","outlet",NA,NA,"diversity of sources","diversity of content","","","diversity of outlets","Yes","T Mendel & E Salomon, Freedom of Expression and Broadcasting Regulation (Rio de Janeiro: UNESCO, 2011) at p.16.","Diversity in the media may be understood to mean many things, but in the context of this article, it refers to three aspects in the broadcast media: diversity of outlets, diversity of sources, and diversity of content. Diversity of outlets requires that space be allocated to users on different communication platforms to ensure that the general public is able to receive a diverse range of broadcasting services.36 In order to promote diversity of outlets, it is recommended that there should be at least three categories of broadcasting services: commercial; commu- nity, and public service.37 Although the programming format of these broadcast- ers is not mutually exclusive, their operating rationale is different. Thus, where all the three types of broadcasters are in operation, this will maximize the promo- tion of dissemination of a wide range of information and ideas catering for the informational needs of a diverse audience.

The second facet of diversity, which relates to sources, demands that adequate measures be put in place to prevent monopolies in the media.47 The protection of freedom of expression under international law obligates states to prevent undue media dominance or concentration by privately controlled media groups in monopolistic situations that may be harmful to a diversity of sources and views.4

The guarantee of freedom of expression imposes an obligation on the state to take steps to promote diversity of media content.61 Programming by broadcast- ers should provide diverse views, opinions, and perceptions to the public they serve. There are various measures that a state may put in place to promote diver- sity of content. These measures include, among others, strong support for both public service and community broadcasters, imposing content obligations on broadcasters, and requirements that programming of a broadcaster must con- tain independent productions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"actor",NA,NA,NA,NA,NA,NA,NA,NA,"Freedom of expression constitutes one of the cornerstones for a free and democratic society. The MEDIA play an important role in ensuring the full respect for freedom of expression by promoting free flow of information and ideas, thereby assisting people","Balule, B T","10.1093/slr/hmt010","Statute Law Review","{DIVERSity and PLURALism compromised: From the botswana broadcasting act 1998 to the communications regulatory authority act 2012}","2013"
"34","006362@2013.nl","No","Does not really mention diversity much (also at one point uses pluralism interchangeably); does not define it or offer any measurements/conceptualizations of it.","div","media_mark","supply","No dimensions",NA,NA,NA,NA,"","","","","","No","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"outlet",NA,NA,NA,NA,NA,NA,NA,NA,"Considering radio as a social system for the production of culture and communication, and based on an overview of the Greek case, this article suggests a model for studying the potential of the Web casting radio compared with the traditional radio in vari","Baltzis, A and Barboutis, C","10.1080/19376529.2013.777730","Journal of Radio and Audio MEDIA","{""Doubt is in the Air."" Modeling the Comparison Between Traditional and Web Casting Radio on the Greek Case}","2013"
"35","007415@2011.nl","No","Talks about the legislation of pluralism in different countries. No real definition of pluralism or diversity (which is mentioned several times as sort of interchangeably with pluralism but is not very much discussed). ","div","media_gen","supply","No dimensions",NA,NA,NA,NA,"","","","","","Yes","","This was one of the greatest conceptual difficulties when undertaking the comparative study of American and European communication policies. In the United States, the term ‘diversity’ is used instead of ‘pluralism’, which undoubtedly introduces certain nuances when considering the country’s pluralism protection legislation and mechanisms. In our opinion, it is more in keeping with the meanings of the free market and the fostering of competition as a means of achieving it.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"outlet",NA,NA,NA,NA,NA,NA,NA,NA,"This article describes and analyses the regulatory frameworks and the current PLURALism protection policies in the United States and several countries of the European Union (Germany, France, the United Kingdom, the Netherlands, Italy and Spain). The data","Bas, Juan Jose and Segovia, Ana I and Llorens, Carles and Almiron, Nuria and Grau, Helena P and Candel, Roberto Suarez"," ","COMUNICACION Y SOCIEDAD","{Communication Policies and the Protection of PLURALism in the European Union and the United States}","2011"
"36","007508@2012.nl","No","Uses the term plurality (also the term diversity, although it is not very distinct from plurality, more treated as one indicator of plurality, lower in the hierarchy). Talks about internal and external plurality, but further not much of a definition; looks at legal documents but does not make much of an own contribution. ","div","media_gen","supply","viewpoint",NA,NA,NA,NA,"","diversity of viewpoints","","","","Yes","","Most importantly, pursuing plurality as a policy aim postulates that availability of diversity of views (including very partial views) is a key factor which underpins democratic debate. If we start from a concept of plurality designed to achieve diversity of view points and preserving excessive influence over public opinion measuring such plurality can be a daunting task. It seems clear that diverse ownership is not a surrogate (or even a guarantee) of diversity. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viewpoint",NA,NA,NA,NA,NA,NA,NA,NA,"The concept of MEDIA PLURALity has achieved a remarkable degree of prominence recently, particularly in the United Kingdom and more generally in Europe. This article looks at the U. K. experience and, on that basis, it aims to illustrate how the legal con","Bavasso, Antonio"," ","COMPETITION POLICY INTERNATIONAL","{MEDIA PLURALITY: UNDER THE SKIN OF CONTROL - CONCEPT, CONTEXT, AND REFORM}","2012"
"37","007866@2005.nl","No","Throws around with a lot of different dimensions of diversity (explaining some of them). Looks at the legislation on diversity in the US and talks about how they define it etc. ","div","media_gen","supply,exposure","viewpoint","outlet","other",NA,NA,"","viewpoint diversity","","content diversity","source diversity","Yes","Philip Napoli (1999)","A central problem here is what is meant by diversity, and how we should assess it. Should we understand by diversity the number of owners of media outlets? Or rather (perhaps in addition) the number of sources that provide content?

Philip Napoli has written astutely on the varieties of diversity. In a useful typology, Napoli (1999) identifies source diversity as encompassing ownership (within which there is a subset distinction between the ownership of out- lets and the ownership of content

Content diversity encompasses format or program-type diversity, demographic diversity (particularly whether minority groups and other demo- graphic groups are portrayed on television in reasonable proportion to their prevalence in society, a metric that has not been central to policymakers, but has been important to communication studies), and, of course, idea-viewpoint diversity. Exposure diversity, in Napoli’s view a neglected dimension, considers the diversity of content “as received,” in the sense of actual media selection by audiences.

 This was what we now call for- mat diversity, understood vertically, that is, within each broadcast outlet.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viewpoint",NA,NA,NA,NA,NA,NA,NA,NA,"Corporate mergers and the consolidation of ownership in the American communications arena have long been sources of concern. U. S. regulatory and antitrust policy traditionally attempted to secure a ``DIVERSity of voices    ''     structurally, largely th","Horwitz, R B","10.1080/01972240490951908","INFORMATION SOCIETY","{On MEDIA concentration and the DIVERSity question}","2005"
"38","007907@2006.nl","No","Uses the framework by Napoli (1999), does not add anything to it and theoretically looks at Mexico (but no actual analysis involved)","div","media_gen","supply,exposure","actor","viewpoint","topic","outlet",NA,"content diversity","content diversity","content diversity","","source diversity ","Yes","Napoli (1999);","This article uses as a basis for discussing cultural diversity policies in Mexico the analytical framework developed by Napoli (1999), who distinguished among three broad components of media diversity: source diversity, content diversity, and expo- sure diversity. Next, Napoli’s components and subcomponents are used to review to- day’s situation in Mexican television

In many policy debates, source diversity is seen as the most important factor to fos- ter diversity in the mass media. According to Napoli (1999), this dimension has been traditionally conceptualized by policymakers in three separate ways: ”(a) in terms of the diversity of ownership of content or programming, (b) in terms of the diversity of ownership of media outlets, and (c) in terms of the diversity of the workforce within individual media outlets” (p. 9)

According to Napoli (1999), content diversity has three different subcomponents: format or program-type diversity, demographic diversity, and idea-viewpoint diversity.

According to Napoli (1999), the concept of exposure diversity is divided into two components: horizontal diversity and vertical diversity. The former “refers to the distribution of audiences across all available content options, whereas vertical ex- posure diversity refers to the diversity of content consumption within individual au- dience members” (p. 26).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"actor",NA,NA,NA,NA,NA,NA,NA,NA,"The issue of how to preserve and promote cultural DIVERSity in Mexico has not been central in policy debates and regulations. However, scholars, politicians, and public officials increasingly are debating how to promote and maintain Cultural DIVERSity her","Lozano, Jose Carlos","10.1207/s15506878jobem5003_7","JOURNAL OF BROADCASTING {\&} ELECTRONIC MEDIA","{Public policies and research on cultural DIVERSity and television in Mexico}","2006"
"39","007927@2007.nl","No","Uses diversity and pluralism, diversity here seems to be a kind of indicator of pluralism (although this is not explicitly mentioned, but becomes apparent from the definition). Does not add a lot of new information, mostly talks about diversity in Italy (but not analysing it, just describing it)","div","media_out,media_mark","supply","actor","viewpoint",NA,NA,NA,"presence of different voices","differing opinions","","","","Yes","Doyle (2002)","Citing Doyle (2002: 11), once again, ‘pluralism is generally associated with diversity in the media; the presence of a number of different and independent voices, and of differing political opinions and representations of culture within the media’. There are two types of pluralism: external or structural pluralism and internal pluralism. External pluralism relates to the diversity of ownership within a specific market. It is achieved when there is a plurality of broadcasters and outlets in a sector. Internal pluralism refers to the diversity of output. It is achieved when extensive coverage and diversity of programming are provided by media outlets. Restrictions on media ownership are not sufficient in themselves to guarantee diversity of output reflecting different political and social views,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"actor",NA,NA,NA,NA,NA,NA,NA,NA,"One key feature of many contemporary European MEDIA systems is the high degree of cross-MEDIA ownership, provoking intense policy and public debates about how best to safeguard PLURALism in the digital environment. In Italy, this is most dramatically high","Hibberd, Matthew","10.1080/01402380701500363","WEST EUROPEAN POLITICS","{Conflicts of interest and MEDIA PLURALism in Italian broadcasting}","2007"
"40","008152@2010.nl","No","Talks about pluralism and diversity (uses diversity as a sort of indicator of pluralism, although not explicitly mentioned). Then looks at some literature to tell something about Spanish media pluralism, but not really doing any analysis or adding much to the debate. ","div","media_mark","supply","actor","viewpoint","outlet",NA,NA,"voices","diverse political opinions","","","media owners","Yes","Doyle (2002); Council of Europe (1994)","For its theoretical framework, this article follows Doyle’s (2002) and the Council of Europe’s (1994) definitions of pluralism, understood as the concurrence between internal and external pluralism. Internal pluralism refers to the diversity of media content offering independent voices, diverse political opinions, and different representations of citizens in the media; whereas external pluralism refers to the diversity of media owners, reflected both by the plurality of independent and autonomous media. Therefore, the idea of pluralism encompasses and requires both a diversity of media content and a diversity of media owners. However, this article will focus on external pluralism through regulation and media policy, as well as on its impact on the Spanish media system. It will study the evolution of media regulation and its impact on different media, rather than the diversity of content offered to the general public.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"actor",NA,NA,NA,NA,NA,NA,NA,NA,"As a young democracy, Spain had huge expectations for MEDIA PLURALism after the end of Franco's dictatorship in 1975. However, structural and historical forces have imposed a more prosaic evolution, where the regulation of MEDIA concentration has had more","Llorens, Carles"," ","INTERNATIONAL JOURNAL OF COMMUNICATION","{Spain's MEDIA Concentration Policy: A Patchwork Crucial to the Understanding of the Spanish MEDIA System}","2010"
"41","008153@2010.nl","No","Looks at pluralism (and diversity, although only briefly mentioned and never actually defined) in the German media system and how it is regulated. States that internal pluralism is regulated for PBS while external pluralism is related to commercial broadcasting (number of outlets and audience share). ","div","media_mark","supply","viewpoint",NA,NA,NA,NA,"","diversity of ideas/opinions","","","","No","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viewpoint",NA,NA,NA,NA,NA,NA,NA,NA,"This article starts from the assumption that patterns of MEDIA concentration and measures of regulating MEDIA PLURALism are not the results of random MEDIA policy adjustments, but are rooted in trajectories of public sphere conceptions and shaped by a set","Czepek, Andrea and Klinger, Ulrike"," ","INTERNATIONAL JOURNAL OF COMMUNICATION","{MEDIA PLURALism Between Market Mechanisms and Control: The German Divide}","2010"
"42","008163@2010.nl","No","Talks about US legislation about media concentration, mentions diversity of viewpoints a lot without ever defining it, also not measuring or analysing anything. ","div","media_gen","supply","viewpoint",NA,NA,NA,NA,"","diversity of viewpoints","","","","No","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viewpoint",NA,NA,NA,NA,NA,NA,NA,NA,"This paper reviews regulatory efforts of the U.S. federal government to promote viewpoint DIVERSity in broadcast MEDIA (radio, television, cable, and satellite) in the face of increasing concentration of ownership of such MEDIA, and the impact on such eff","Fisch, William B","10.5131/ajcl.2009.0022","AMERICAN JOURNAL OF COMPARATIVE LAW","{PLURALity of Political Opinion and the Concentration of MEDIA in the United States}","2010"
"43","008237@2011.nl","No","Napoli about different approaches to diversity that need to be addressed by lawmakers/policy. Adds new dimensions such as cultural/national/linguistic diversity and stresses the exposure diversity aspect (calling it user-focused)","div","media_gen","supply,exposure","other",NA,NA,NA,NA,"","","","cultural, linguistic, nationalistic, user-focused","","Yes","Napoli, 1999; Napoli & Gillis, 2006; UNESCO (1995); Norris & Engelhart, 2008; Organisation for Economic Cooperation and Development, 2007","Although diversity is a rich and multifaceted communications policy-making principle (see Napoli, 1999), over time it has become increasingly tied to concerns about concentration of media ownership (Napoli & Gillis, 2006)

Consider the notion of cultural diversity, a well-established manifestation of the diversity principle in the communications sector (UNESCO, 1995, 2002). According to UNESCO (1995), cultural diversity is defined as
the manifold ways in which the cultures of groups and societies find expression. . . . Cultural diversity is made manifest not only through the varied ways in which the cultural heritage of humanity is expressed, augmented, and transmitted through the variety of cultural expressions, but also through diverse modes of artistic creation, production, dissemination, distribution and enjoyment, whatever the means and technologies used. (Article 4, no. 2)

This concern about “national diversity” (i.e., the extent to which a multitude of national cultures remain vibrant and resistant to submersion beneath a few dominant cultures; see Norris & Engelhart, 2008) is persistent—and perhaps even intensified—given the greater challenges to limiting the cross-border flows of content that characterize the contemporary media environment.

The term user-focused diversity is being employed here to capture the more granular analytical lens that is finding its way into diversity policy discourse. The sphere of diversity policy is extending beyond its traditional, institutionally-focused boundaries, thereby incorporating concerns that have long resided at the margins of mainstream diversity policy priorities.
Policymaking has begun to take into account today’s more empowered media user (see, e.g., Organisation for Economic Cooperation and Development, 2007).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"other",NA,NA,NA,NA,NA,NA,NA,NA,"This article examines the evolution of MEDIA DIVERSity policy concerns in response to the changing technological and institutional dynamics of the MEDIA environment. It identifies those DIVERSity policy concerns that are receiving less attention from poli","Napoli, Philip M"," ","INTERNATIONAL JOURNAL OF COMMUNICATION","{Diminished, Enduring, and Emergent DIVERSity Policy Concerns in an Evolving MEDIA Environment}","2011"
"44","008311@1999.nl","No","Long theory part that shows all kinds of different definitions of diversity and its different dimensions - in 1999, so encompasses everything done so far. Talks about the difference between market concentration and diversity of content, does not analyse anything, but gives a good overview of different conceptualisations of diversity (although a little outdated by now..)","div","media_gen,Other, namely (please fill in)","supply","actor","viewpoint","topic","other",NA,"Person diversity","diversity of ideas, diversity of content","issue diversity","Product diversity, geographical diversity","","Yes","Dennis McQuail, Media Performance:Mass Communication and the Public lnterest (London: Sage, 1992), 142.; Cento Veljanovski, The Media in Britain Today (London:News International plc, 1990).;
Wolfgang Hoffmann-Riem, “National Identity and Cultural Values: BroadcastingSafeguards” Journal of Broadcasting 31 (winter 1987):60-61.;
T. R. Donohue and T. L. Glasser, ”Homogeneity in Coverage of Connecticut Newspapers,” Journalism Quarterly 55 (autumn 1978):592-96.","In short, there are many conceptual distinctions of the term “media diversity,” including diversity of access, diversity of choice, balance in the presentation of news, linguistic and geographical diversity, internal and external diversity. However, two subconcepts of diversity, that of access and choice for the audience, are the two notions that have been placed high on the agenda of regulators and policymakers when considering media concentrations. Regarding diversity of access, the key question is whether the possibility of establishing new media companies leads to the situation where all legitimate interests in a given society have an equal (or proportional) share of access to media channels. Regarding diversity as choice, the key question is whether an increase in channels actually leads to greater choice for the audience.

Diversity of Ideas.
Diversity of Products.
External andInternal Diversity

Since the market model encourages the proliferation of channels and new audience markets, it can lead to increased numerical diversity, that is, more channels and theoretically more consumer choice. The quantitative diversity of variety of channels, however, does not necessarily provide qualitative diversity of media content. In other words, ”there is a big difference between media pluralism and message pluralism and we must be careful not to confuse media abundance with media diversity.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"actor",NA,NA,NA,NA,NA,NA,NA,NA,"Whereas in the United States market forces have always been key ingredients in the development of the communications sector, in the European MEDIA industry DIVERSity of opinions has traditionally been achieved through government regulation. Yet in Europe","Iosifides, P","10.1177/107769909907600111","JOURNALISM {\&} MASS COMMUNICATION QUARTERLY","{DIVERSity versus concentration in the deregulated mass MEDIA domain}","1999"
