"","ID","loop_concept","def","cit","actor","viewpoint","topic","outlet","other"
"16","000926@2017.nl","div","Second, we consider that there is value in considering the diversity of online news
sharing in terms of socio-demographic indicators of high-profile social media accounts,
or digital influencers, as these can assist us in investigating the relative representation of
various ethnicities, the presence of minority, community and public service media, local
and regional media in the sharing media system, and public participation via comments.

Here we wanted to know what types of news were most
shared internationally, as a way of gauging media diversity, and to reassess research
that suggest audiences prefer soft, celebrity, sport and lifestyle-oriented content
(Boczkowski and Peer 2011).

This statement triggers many questions about how we
might then analyse the diversity of any one media system; about measuring, for example,
representation, access, available content choices and impact for audiences.

Other market-oriented researchers have begun to use news analytics to
ask more nuanced questions such as “how diverse is the news that people are consuming
around the time of major breaking news events?” like the Paris attacks, the San Bernardino
shootings or the presidential debates (Song 2016).","Boczkowski and Peer 2011;Song 2016;","","","","","cultural diversity"
"17","001052@2017.nl","div","The result of this approach is that the concept of media
pluralism involves diversity in media supply, distribution and use. It is
intent on ensuring the presence of and access to a variety of information
sources, opinions and expressions, and cultural products that represent
the breadth and depth of society.

The initial measures of pluralism were developed to support competition
law analysis, first in the United States and then in Europe. These
included concentration ratios and the Herfindahl Index (also called
the Herfindahl–Hirschman Index). The focus of those measurements
on competition enforcement later led to the introduction of a diversity
measurement from ecology studies to provide evidence of other market
issues41 and the Noam Index, a measurement specifically relevant
to measuring cross-media ownership.","JOHN E. KWOKA JR., THE HERFINDAHL INDEX IN THEORY AND PRACTICE (1985).

JOHN W. DIMMICK, MEDIA COMPETITION AND COEXISTENCE: THE THEORY OF
NICHE (2003).

Brian C. Hill, Measuring Media Market Diversity: Concentration, Importance,
and Pluralism, 58 FED. COMM. L.J. 169 (2006); Eli Noam, How to Measure Media Concentration,
FT.COM, Aug. 30, 2004, http://www.ft.com/cms/s/da3Obf5e-fa9d-1ld8-9a71-
00000e251lc8.html.",NA,NA,NA,"Ownership diversity",NA
"18","001060@2017.nl","div","Existing studies (Derczynskietal.,2015) further suggest that named entity diversity ,discrepancy between named entities in the trainingset and the testset (entity drift over time in particular) ,and diverse context,are the likely reasons behind the significantly lower NER performance on social media corpora",NA,"Named entity diversity",NA,NA,NA,"token/type diversity "
"19","001229@2017.nl","div","Gauging the diversity and range of sources that appear in the news is central
to a fuller understanding of the democratic role of the media. Of particular importance is the
balance of sources representing different societal interests. Are the interests of businesses more
commonly heard than those of employees? To what extent are citizen groups representing, for
example, social or environmental causes used as sources in news stories? Does the balance
between using different interest groups as sources depend on the policy area being reported on?
And to what extent does media coverage of interest groups vary across news outlets?",NA,"diversity of sources that appear in the news",NA,NA,NA,NA
"20","001259@2017.nl","div","Building upon the definition provided by Van Cuilenburg (1999), in our study
we measure the heterogeneity of news content in terms of actor and viewpoint
diversity.

The diversity of actors refers to the range of category affiliations of
actors who are quoted or paraphrased in the news

The second dimension – diversity of viewpoints – has been considered by
different authors as being core to the concept of content diversity. Griswold
(1999) intuitively notices that, although various actors might feature in a discussion
about a certain issue in the news, it is ultimately the diversity of viewpoints
that guarantees the democratic benefit of content diversity, providing
readers with a plurality of perspectives on a given topic. In line with this,
Voakes et al. (1996, p. 585) propose a comprehensive definition of viewpoint
diversity as the range of “ideas, perspectives, attributions, opinions, or frames
within a news product”. In keeping with this definition, Van Gorp (2005) analyzes
the use of frames in Belgian news about the asylum issue, identifying a
dichotomy between an “intruder” and a “victim” frame. In a similar way, Benson
(2009) measures frame diversity in immigration-related news in France and
the US, pinpointing ten frame categories which characterize the mediated debate
on immigration in those countries.","Van Cuilenburg (1999); Griswold (1999); Voakes et al. (1996, p. 585) ; Van Gorp (2005); Benson
(2009) ","actor diversity","viewpoint diversity",NA,NA,NA
"21","001389@2017.nl","div","Since we represent these patterns
through semantic analysis, we suggest latent topic modeling to reveal the latent topic
characteristics of messages, and propose a quantitative metric, message-diversity, to assess
the latent topic diversity of messages and mining the repost patterns of the users.",NA,NA,NA,NA,NA,"message diversity (diverse topic properties)"
"22","001402@2017.nl","div","Content diversity refers to the variety related to the source, topics and richness in media,
in the content posted on enterprise microblogs. According to the media richness theory
(Daft and Lengel, 1986; Lan and Sie, 2010), content richness refers to variety in language and
media type. Here, the content diversity tactic not only involves variety in media type
(such as photos, audio or video), but also variety in source and topics (such as company’s
product information, re-tweets from celebrities or CEOs, and re-broadcasted news from
other media). At the same time, different micro-topics are initiated frequently to capture
attention and induce customer participation.","Daft and Lengel, 1986; Lan and Sie, 2010","variety of sources",NA,"variety of topics",NA,"variety of media types (text, audio, video)"
"23","001425@2017.nl","div","Media scholars,
critics, and policy-makers have used the concept of diversity as a normative
goal for democratic media. A well-functioning media system has frequently
been associated with the extent to which it facilitates the dissemination of a
large array of ideas and viewpoints from a diverse range of sources, in order to
foster the existence of an informed citizenry, an environment of inclusiveness
and, ultimately, stable and effective self-governance (Napoli, 2001).

Translating this so-called “diversity principle” into media system
assessment has often taken the form of efforts to assess the range of sources
and viewpoints represented in traditional mass media outlets (Napoli, 1999).

The diversity of content on the Internet does not translate to
the diversity of reception. As Napoli (2011, p. 246) notes, “with all of the
information outlets currently available, focusing on source and content
diversity is becoming less important than understanding the information that
is actually consumed by media users.” One of the key challenges, then, is to
reconcile the mass media era focus on the system – diversity – and the newly
re-emerged focus on the rights of the individual","Napoli, 2001; Napoli, 1999; Napoli (2011)","","","","","diversity of content (no further specification)"
"24","001505@2017.nl","div","At the same time, the focal matter of contention
– the diversity of viewpoints – notoriously eludes definition and measurement (Benson,
2009). Specifically, it remains unclear which observed variations in the news meaningfully
contribute to viewpoint diversity (Napoli, 1999)

Focusing on the diversity of news content (Napoli, 1999), we review available
research and theorizing to discuss the concept’s normative relevance and operational
specification.

While most conceptualizations of democratic debates depend on some notion of viewpoint
diversity, they emphasize different aspects, and differ in how much diversity is
deemed adequate

In our view, speaker-oriented approaches to viewpoint diversity offer little help for
deciding whose viewpoints should be represented: they either externalize the problem
by privileging positional elites, or implicitly refer to content-based criteria by inviting
speakers expected to contribute different interpretations. By contrast, content-oriented
views approximate the representation of all relevant aspects of a concern: they provide
both measures and criteria for discriminating valuable from redundant contributions

Most available measures of viewpoint diversity
access the diversity of interpretations only indirectly (Voakes et al., 1996)

Other studies assess viewpoint diversity using content analytic methodology (Hayes and Guardino, 2010; Humprecht and Büchel, 2013;
Muschert, 2009). However, it is not always transparent how their indicators were chosen
and can validly and relatively exhaustively capture the available interpretations (Voakes
et al., 1996).

However, diverse sources may
echo the same few interpretations; likewise, few actors can present a wider or narrower
diversity of viewpoints (Ferree et al., 2002; Holcomb et al., 2011; Voakes et al., 1996

Among those approaches focusing on the diversity of news content, three related strategies
emphasize the tone or political position represented in the news: in the simplest
case, viewpoint diversity is considered high if official viewpoints are contrasted against
some counterframes (Bennett, 1990; Hanitzsch and Mellado, 2011; Hayes and Guardino,
2010)

A slightly more differentiated variant assesses the diversity of tones
attached to political issues (Hayes and Guardino, 2010).

A third approach codes political slant (Ho and Quinn, 2008; Pritchard, 2002). At
least in multiparty systems, this approach can distinguish also beyond two interpretations,
albeit in rather coarse grain.

In this article, we consider all frames as diverse that contribute to different interpretative
repertoires

A first approach is to simply determine
the number of distinct patterns in which the respective logics are used for specific framing
functions (number of viewpoints) – for example, by applying some clustering/topic
modeling or, dimension reduction technique (Baden and Springer, 2014; Matthes and
Kohring, 2008).

Therefore, second,
we can assess the uniqueness of ‘entries’ for the different ‘slots’ in constructed
frames (viewpoint variability): a repertoire wherein each ‘slot’ is uniquely assigned has
lower viewpoint diversity than one allowing variable entries to be combined without
breaking coherence.

Third, we can derive
another criterion of viewpoint diversity from the assumptions required to render detected
repertoires coherent (viewpoint distinctness): assumptions made by different repertoires
can overlap (e.g. sharing moral evaluation standards)

A debate wherein all advanced repertoires
are at least passively compatible is, accordingly, less diverse than one that includes
viewpoints that cannot simultaneously be accepted. If we apply such measures alongside
the more conventional coding of actors represented in the coverage, not only can we
assess whether and when additional speakers increase the diversity of viewpoints represented","Voakes et al., 1996 (Napoli, 1999); Benson, 2009;Hayes and Guardino, 2010; Humprecht and Büchel, 2013; Muschert, 2009; Ferree et al., 2002; Holcomb et al., 2011; Hayes and Guardino, 2010; Bennett, 1990; Hanitzsch and Mellado, 2011; Hayes and Guardino, 2010; Baden and Springer, 2014; Matthes and
Kohring, 2008;","","","","",""
"25","001684@2016.nl","div","Chaffee and Wilson (1977) used the term media diversity to describe the rich- ness of the media resources available in a region. According to Roessler (2008), media content diversity is the ‘‘variety or breadth of media content available to media consumers’’ (p. 467)

In this study, media diversity and media content diversity were used interchangeably.

Media diversity can be conceptualized on various levels, including indi- vidual media outlet in a community (Chaffee & Wilson, 1977), media type (Wang, Guo, & Shen, 2011), and agenda or issue frames (Peter & De Vreese, 2003)

Considering the unique characteristics of the media system in China, media content diversity is conceptualized on the level of media type in this study.","Chaffee and Wilson (1977); Roessler (2008);Wang, Guo, & Shen, 2011;Peter & De Vreese, 2003",NA,"diversified opinions",NA,NA,NA
"26","001729@2016.nl","div","A second requirement of news media in an electoral democracy is diversity (e.g. McQuail 1992; Mutz and Young 2011). This aspect of news quality is often associated with the ideal of the public sphere as a “marketplace of ideas” (e.g. Voakes et al. 1996, 582; Napoli 1999, 8; Mutz and Young 2011, 1018)

News that is perfectly diverse provides citizens with information about all political parties—their viewpoints, their successes or failures of candidates—to an equal extent during an election campaign (“open diversity”, see van der Wurff and van Cuilenburg 2001

For the diversity of party cover- age, which we measure here, this could mean a lower focus on government parties and more attention to the opposition, including new and populist parties, resulting in higher diversity.","McQuail 1992; Mutz and Young 2011;Voakes et al. 1996, 582; Napoli 1999, 8; Mutz and Young 2011;van der Wurff and van Cuilenburg 2001","diversity of party coverage",NA,NA,NA,NA
"27","001764@2016.nl","div","Plurality here is viewed as diversity in news content and distinguished from pluralism in the sense that Karppinen (2013: 3–4) defined the concepts: diversity and plurality refer to the empirical fact of plurality, while pluralism is a value orientation that considers multiplicity and diversity in ideas and institutions a virtue.","Karppinen (2013)",NA,NA,NA,NA,NA
"28","001818@2016.nl","div","Diversity can be defined as: Given a list of recommended news L to a given user u, L can be said to be diverse to u if it matches as many as possible of the given user’s different reading interests.",NA,NA,NA,NA,NA,NA
"29","001948@2016.nl","div","The concept of news diversity is often equated with providing an alternative to the mainstream narrative (e.g., Alia and Bull 2004; Deuze 2006; Silverstone and Georgiou 2005)

 In previous research, two primary approaches to measuring content diversity have been applied: examining diversity of content and diversity of ownership patterns (Entman and Wildman 1992; Iosifides 1999; Van Cuilenberg 2005).

Connections drawn between these two sub-components of news diversity have been built on the assumption that source diversity will lead to content diversity in a truly competitive marketplace (Napoli 1999; Van Cuilenberg 2000). While this assumption has often proven problematic—structural diversity does not automatically ensure diversity of content—researchers have examined various sub-components of content diversity, including format or program-type, demographic and idea-viewpoints (Napoli 1999, 18–24). Measuring the diversity of idea-viewpoints within media content is often considered a form of reflective diversity, that is, a way to assess the “actual match between users’ preferences and the reflection of these preferences in media content” (Van Cuilenberg 2000, 53). Assessing the connections between reflective diversity in media content—an approach most strongly connected to a normative democratic theory of the media as being essential to maintaining a marketplace of ideas (Entman and Wildman 1992)—and ownership diversity is the central undertaking of the present research.","Alia and Bull 2004; Deuze 2006; Silverstone and Georgiou 2005; Entman and Wildman 1992; Iosifides 1999; Van Cuilenberg 2005;Napoli 1999;Van Cuilenberg 2000;Entman and Wildman 1992",NA,NA,NA,NA,"Duplication of content"
"30","002013@2016.nl","div","This behavior reduces source diversity, or “the dispersion of the representations of affiliations and status positions of sources used to create a news product” (Voakes et al., 1996: 583–584). ","Voakes et al., 1996","Diversity of sources",NA,NA,NA,NA
"31","002045@2016.nl","div","The right to information enables the media to have access to a wide range of information culminating in diversity of media content

Intellectual and ideological diversity in the print media is therefore unsatisfactory. There is only one regional newspaper and no community newspapers. The specific informational needs of rural audiences are not adequately catered for in the newspapers. In addition, there is no single paper published in an indigenous language. Regional and cul- tural diversity is lacking in the print media sector.

States have an obligation to take appropriate action to prevent undue dominance of concentration by privately controlled media groups in monopolistic situations that may be harmful to a diversity of sources and views.

media functions describes diversity of media in relation to functions, including providing information, edu- cation and entertainment","","","","","","regional and cultural diversity"
"32","002132@2016.nl","div","Motivated by such concerns, Mauro Porto (2007a) has argued for a “News Diversity” standard for journalism. Based on the interpretive citizen model, Porto defines “diversity” in the news media as a news environment containing a plurality of competing ”interpretive frames,” with the news media—as opposed to political parties and candidates—acting as the primary force in “shaping the menu of choices” (Porto 2007a: 311–12). “Interpretive frames” is the key element to the News Diversity stan- dard.","Mauro Porto (2007a) ",NA,"Frame diversity",NA,NA,NA
"33","002268@2015.nl","div","The opposite, that is, access to a range of viewpoints, is quite uniformly called diversity, a term used in this article as well.

Fre- quently, the research in this area focuses on diversity and biases along a single dimension, typically the political orientation (liberal versus conservative)",NA,NA,"diversity of opinion",NA,NA,NA
"34","002400@2015.nl","div","Topical diversity: What are the various topics which are covered in the samples?",NA,NA,NA,"Topic diversity",NA,NA
"35","002489@2015.nl","div","current debates concerning source, content, and exposure diversity as defined by Napoli (1999, 2011).

Youth’s widespread adoption of sharing and creation techniques has several implications for notions of diversity. At the conceptual level, increased interactivity suggests that traditional categories such as producers, distributors, and recipients are blurring when applied to youth and news online. Viewed from this phenomenological angle, diversity models will have to take into account the interactive relationship between what has previously been labeled the audience, as part of exposure diversity, and nontraditional co-creators of news, as part of source diversity. As youth are no longer only consumers but also co-creators and sharers of news, traditional notions of source and content diversity now might take into account demographic or ethnic diversity outside the familiar dimensions of organizational and economic structures of professional media companies.

More specifically, and using Napoli’s (1999) diversity framework","Napoli (1999, 2011)",NA,NA,NA,"source diversity","content diversity; exposure diversity"
"36","002508@2015.nl","div","We, on the other hand, claim that the distinction between pluralism and diversity is extremely relevant for both a theoretical and empirical reflection on media and democracy, as they underlie different perceptions of plurality.

On the one hand, ‘diversity’ has to be located on the ontic dimension of the social, as it regards mere physical or empirical differences, such as the range of identities and concerns (differences within society)

‘affirmative diversity’ is represented by the metaphors of media as ‘mirrors of society’ and ‘marketplaces of ideas’ and draws on the liberal-aggre- gative school of democratic theory. Conceptually, it relates to ‘diversity’ as it expects media to truthfully reflect the existing social heterogeneity.

Research starting from the affirmative diversity-approach is concerned about a bal- anced media representation of social diversity, for instance, in terms of actors, issues, and viewpoints.

interpreted as ‘criti- cal diversity’ is illustrated by the metaphor of media as ‘cultural industries’

However, instead of focusing solely on media content, their concern lays mainly with the commercial interests and mechanisms of media organizations and the routines of media practitioners, and how these determine the level of diversity within media coverage. Clearly, the research field is divided because of the unlimited range of structural charac- teristics. For example, regarding ownership, research can focus on ownership concentra- tion (e.g. Hanretty, 2014), the agenda of owners (e.g. Anand et al., 2007), ownership structures (e.g. Yanich, 2010), or ownership limits (e.g. Horwitz, 2005).","","","","","",""
"37","002524@2015.nl","div","According to McQuail (2007), diversity is “the most potent concept in communication policy in modern times” (p. 41).

Diversity, in turn, more frequently describes the variety of content available to or consumed by citizen

From the first perspective, diversity is generated by a plurality of available media or content, and the latter conceptualizes media diversity as a result of user behavior. In this vein, McQuail (1992, p. 157) differentiates “content as sent” from “content as received.”

The notion of exposure diversity assumes that pluralism is achieved when users actually enjoy a diverse media diet (Hagel & Brown, 2009; van Cuilenburg, 1998)

Based on SCT, we argue that both supply diversity and exposure diversity are necessary but not sufficient conditions of media pluralism in the digital age.

Yet, mere exposure is not synonymous with actual attention to and perception and experience of diversity (Goodman, 2004).

We define diversity experience as the cognitive processing of diverse information.

Thus, diversity exposure—the encountering of diverse content—results in diversity experience only if users perceive and digest this content according to their motivations, awareness, and capabilities.

The social cognitive perspective on media diversity is particularly helpful in the analysis of media diversity in the digital age because it stresses the importance of personal influences as a complement to environmental/institutional (supply) and behavioral (exposure) aspects

These challenges can be understood as three barriers that users must overcome to experience media diversity in an online environment:
1. Users may not be motivated to seek out diversity.
2. Users may not be aware of current limits to diversity.
3. Users may not be able to ensure access to diversity.

Based on SCT, we propose that the pluralism debate must employ a user-centric perspective and thereby extend beyond the assumption that supply diversity equals diversity exposure

SCT shows that environmental factors (such as diversity supply) and behavioral factors (such as diversity exposure) interact in creating personal cognitions and affect (such as diversity experience)","McQuail (2007); (Hagel & Brown, 2009; van Cuilenburg, 1998);McQuail (1992, p. 157)","","","","","diversity experience"
